AASDHPPT	Q9NRN7	syn9735917
ABCB10	Q9NRK6	syn9735918
ABCB6	Q9NP58	syn9735919
ABCC1	P33527	syn9735920
ABCG5	Q9H222	syn9735921
ABCG8	Q9H221	syn9735922
ABHD14B	Q96IU4	syn9735923
ABI2	Q9NYB9	syn9735924
ABL1	P00519	syn9735925
ABL2	P42684	syn9735926
ABLIM2	Q6H8Q1	syn9735927
ABLIM3	O94929	syn9735928
ABO	P16442	syn9735929
ABRACL	Q9P1F3	syn9735930
ACAA1	P09110	syn9735931
ACAA2	P42765	syn9735932
ACACA	Q13085	syn9735933
ACACB	O00763	syn9735934
ACAD11	Q709F0	syn9735935
ACAD8	Q9UKU7	syn9735936
ACADM	P11310	syn9735937
ACADS	P16219	syn9735938
ACADSB	P45954	syn9735939
ACADVL	P49748	syn9735940
ACAN	P16112	syn9735941
ACAP1	Q15027	syn9735942
ACAT1	P24752	syn9735943
ACAT2	Q9BWD1	syn9735944
ACBD3	Q9H3P7	syn9735945
ACBD4	Q8NC06	syn9735946
ACBD5	Q5T8D3	syn9735947
ACBD6	Q9BR61	syn9735948
ACBD7	Q8N6N7	syn9735949
ACD	Q96AP0	syn9735950
ACE	P12821	syn9735951
ACE2	Q9BYF1	syn9735952
ACHE	P22303	syn9735953
ACKR1	Q16570	syn9735954
ACLY	P53396	syn9735955
ACMSD	Q8TDX5	syn9735956
ACO1	P21399	syn9735957
ACOT12	Q8WYK0	syn9735958
ACOT13	Q9NPJ3	syn9735959
ACOT2	P49753	syn9735960
ACOT4	Q8N9L9	syn9735961
ACOT7	O00154	syn9735962
ACP1	P24666	syn9735963
ACP5	P13686	syn9735964
ACP6	Q9NPH0	syn9735965
ACPP	P15309	syn9735966
ACSM2A	Q08AH3	syn9735967
ACSS1	Q9NUB1	syn9735968
ACTB	P60709	syn9735969
ACTG1	P63261	syn9735970
ACTL7A	Q9Y615	syn9735971
ACTN1	P12814	syn9735972
ACTN2	P35609	syn9735973
ACTN3	Q08043	syn9735974
ACTN4	O43707	syn9735975
ACTR8	Q9H981	syn9735976
ACVR1	Q04771	syn9735977
ACVR2A	P27037	syn9735978
ACVR2B	Q13705	syn9735979
ACVRL1	P37023	syn9735980
ACY1	Q03154	syn9735981
ACYP1	P07311	syn9735982
ADA	P00813	syn9735983
ADAM17	P78536	syn9735984
ADAM22	Q9P0K1	syn9735985
ADAM33	Q9BZ11	syn9735986
ADAM8	P78325	syn9735987
ADAMTS1	Q9UHI8	syn9735988
ADAMTS13	Q76LX8	syn9735989
ADAMTS4	O75173	syn9735990
ADAMTS5	Q9UNA0	syn9735991
ADAP1	O75689	syn9735992
ADAR	P55265	syn9735993
ADARB1	P78563	syn9735994
ADAT2	Q7Z6V5	syn9735995
ADCY10	Q96PN6	syn9735996
ADCYAP1	P18509	syn9735997
ADCYAP1R1	P41586	syn9735998
ADGRB3	O60242	syn9735999
ADGRE2	Q9UHX3	syn9736000
ADGRL3	Q9HAR2	syn9736001
ADH1A	P07327	syn9736002
ADH1B	P00325	syn9736003
ADH1C	P00326	syn9736004
ADH4	P08319	syn9736005
ADH5	P11766	syn9736006
ADH7	P40394	syn9736007
ADI1	Q9BV57	syn9736008
ADIPOR1	Q96A54	syn9736009
ADIPOR2	Q86V24	syn9736010
ADK	P55263	syn9736011
ADM	P35318	syn9736012
ADORA2A	P29274	syn9736013
ADPRH	P54922	syn9736014
ADPRHL2	Q9NX46	syn9736015
ADRA2A	P08913	syn9736016
ADRA2B	P18089	syn9736017
ADRB1	P08588	syn9736018
ADRB2	P07550	syn9736019
ADRB3	P13945	syn9736020
ADRM1	Q16186	syn9736021
ADSL	P30566	syn9736022
ADSS	P30520	syn9736023
ADSSL1	Q8N142	syn9736024
AFAP1L2	Q8N4X5	syn9736025
AFDN	P55196	syn9736026
AFF4	Q9UHB7	syn9736027
AFG3L2	Q9Y4W6	syn9736028
AFP	P02771	syn9736029
AGA	P20933	syn9736030
AGAP2	Q99490	syn9736031
AGAP3	Q96P47	syn9736032
AGER	Q15109	syn9736033
AGFG1	P52594	syn9736034
AGO1	Q9UL18	syn9736035
AGO2	Q9UKV8	syn9736036
AGR2	O95994	syn9736037
AGR3	Q8TD06	syn9736038
AGRP	O00253	syn9736039
AGT	P01019	syn9736040
AGTR1	P30556	syn9736041
AGXT	P21549	syn9736042
AHCY	P23526	syn9736043
AHCYL1	O43865	syn9736044
AHCYL2	Q96HN2	syn9736045
AHI1	Q8N157	syn9736046
AHNAK	Q09666	syn9736047
AHNAK2	Q8IVF2	syn9736048
AHSA1	O95433	syn9736049
AHSP	Q9NZD4	syn9736050
AIF1	P55008	syn9736051
AIF1L	Q9BQI0	syn9736052
AIFM1	O95831	syn9736053
AIM1	Q9Y4K1	syn9736054
AIM2	O14862	syn9736055
AIMP1	Q12904	syn9736056
AIMP2	Q13155	syn9736057
AIP	O00170	syn9736058
AIRE	O43918	syn9736059
AK1	P00568	syn9736060
AK2	P54819	syn9736061
AK3	Q9UIJ7	syn9736062
AK4	P27144	syn9736063
AK5	Q9Y6K8	syn9736064
AK6	Q9Y3D8	syn9736065
AKAP10	O43572	syn9736066
AKAP13	Q12802	syn9736067
AKAP5	P24588	syn9736068
AKR1A1	P14550	syn9736069
AKR1B1	P15121	syn9736070
AKR1B10	O60218	syn9736071
AKR1C1	Q04828	syn9736072
AKR1C2	P52895	syn9736073
AKR1C3	P42330	syn9736074
AKR1D1	P51857	syn9736075
AKR7A2	O43488	syn9736076
AKR7A3	O95154	syn9736077
AKT1	P31749	syn9736078
AKT2	P31751	syn9736079
AKT3	Q9Y243	syn9736080
ALAD	P13716	syn9736081
ALB	P02768	syn9736082
ALCAM	Q13740	syn9736083
ALDH18A1	P54886	syn9736084
ALDH1A1	P00352	syn9736085
ALDH1A2	O94788	syn9736086
ALDH1A3	P47895	syn9736087
ALDH1L1	O75891	syn9736088
ALDH2	P05091	syn9736089
ALDH3A1	P30838	syn9736090
ALDH3A2	P51648	syn9736091
ALDH4A1	P30038	syn9736092
ALDH5A1	P51649	syn9736093
ALDH7A1	P49419	syn9736094
ALDOA	P04075	syn9736095
ALDOB	P05062	syn9736096
ALDOC	P09972	syn9736097
ALK	Q9UM73	syn9736098
ALKBH2	Q6NS38	syn9736099
ALKBH3	Q96Q83	syn9736100
ALKBH5	Q6P6C2	syn9736101
ALKBH7	Q9BT30	syn9736102
ALKBH8	Q96BT7	syn9736103
ALOX12	P18054	syn9736104
ALOX15	P16050	syn9736105
ALOX15B	O15296	syn9736106
ALOX5	P09917	syn9736107
ALOX5AP	P20292	syn9736108
ALPP	P05187	syn9736109
ALX4	Q9H161	syn9736110
ALYREF	Q86V81	syn9736111
AMBP	P02760	syn9736112
AMD1	P17707	syn9736113
AMER1	Q5JTC6	syn9736114
AMFR	Q9UKV5	syn9736115
AMPD2	Q01433	syn9736116
AMPH	P49418	syn9736117
AMT	P48728	syn9736118
AMY1A	P04745	syn9736119
AMY2A	P04746	syn9736120
ANAPC1	Q9H1A4	syn9736121
ANAPC10	Q9UM13	syn9736122
ANAPC11	Q9NYG5	syn9736123
ANAPC13	Q9BS18	syn9736124
ANAPC15	P60006	syn9736125
ANAPC16	Q96DE5	syn9736126
ANAPC2	Q9UJX6	syn9736127
ANAPC4	Q9UJX5	syn9736128
ANAPC5	Q9UJX4	syn9736129
ANAPC7	Q9UJX3	syn9736130
ANG	P03950	syn9736131
ANGPT1	Q15389	syn9736132
ANGPT2	O15123	syn9736133
ANK1	P16157	syn9736134
ANK2	Q01484	syn9736135
ANK3	Q12955	syn9736136
ANKRA2	Q9H9E1	syn9736137
ANKRD27	Q96NW4	syn9736138
ANKS1A	Q92625	syn9736139
ANKS1B	Q7Z6G8	syn9736140
ANKS3	Q6ZW76	syn9736141
ANKS6	Q68DC2	syn9736142
ANLN	Q9NQW6	syn9736143
ANOS1	P23352	syn9736144
ANP32A	P39687	syn9736145
ANP32B	Q92688	syn9736146
ANP32E	Q9BTT0	syn9736147
ANPEP	P15144	syn9736148
ANTXR1	Q9H6X2	syn9736149
ANTXR2	P58335	syn9736150
ANXA1	P04083	syn9736151
ANXA2	P07355	syn9736152
ANXA3	P12429	syn9736153
ANXA4	P09525	syn9736154
ANXA5	P08758	syn9736155
ANXA6	P08133	syn9736156
ANXA8	P13928	syn9736157
AOC1	P19801	syn9736158
AOC3	Q16853	syn9736159
AOX1	Q06278	syn9736160
AP1B1	Q10567	syn9736161
AP1G1	O43747	syn9736162
AP1G2	O75843	syn9736163
AP1S1	P61966	syn9736164
AP1S3	Q96PC3	syn9736165
AP2B1	P63010	syn9736166
AP4B1	Q9Y6B7	syn9736167
AP4M1	O00189	syn9736168
APAF1	O14727	syn9736169
APBA1	Q02410	syn9736170
APBA3	O96018	syn9736171
APBB1	O00213	syn9736172
APBB1IP	Q7Z5R6	syn9736173
APBB3	O95704	syn9736174
APC	P25054	syn9736175
APCS	P02743	syn9736176
APEX1	P27695	syn9736177
APH1A	Q96BI3	syn9736178
API5	Q9BZZ5	syn9736179
APIP	Q96GX9	syn9736180
APLF	Q8IW19	syn9736181
APLNR	P35414	syn9736182
APLP1	P51693	syn9736183
APLP2	Q06481	syn9736184
APOA1	P02647	syn9736185
APOA2	P02652	syn9736186
APOA4	P06727	syn9736187
APOBEC2	Q9Y235	syn9736188
APOBEC3A	P31941	syn9736189
APOBEC3B	Q9UH17	syn9736190
APOBEC3C	Q9NRW3	syn9736191
APOBEC3F	Q8IUX4	syn9736192
APOBEC3G	Q9HC16	syn9736193
APOC1	P02654	syn9736194
APOC2	P02655	syn9736195
APOC3	P02656	syn9736196
APOD	P05090	syn9736197
APOE	P02649	syn9736198
APOH	P02749	syn9736199
APOM	O95445	syn9736200
APP	P05067	syn9736201
APPL1	Q9UKG1	syn9736202
APPL2	Q8NEU8	syn9736203
APRT	P07741	syn9736204
APTX	Q7Z2E3	syn9736205
AQP1	P29972	syn9736206
AQP2	P41181	syn9736207
AQP4	P55087	syn9736208
AQP5	P55064	syn9736209
AQP6	Q13520	syn9736210
AQR	O60306	syn9736211
AR	P10275	syn9736212
ARAF	P10398	syn9736213
ARAP1	Q96P48	syn9736214
ARAP2	Q8WZ64	syn9736215
ARAP3	Q8WWN8	syn9736216
AREG	P15514	syn9736217
ARF1	P84077	syn9736218
ARF4	P18085	syn9736219
ARF5	P84085	syn9736220
ARF6	P62330	syn9736221
ARFGAP1	Q8N6T3	syn9736222
ARFGAP2	Q8N6H7	syn9736223
ARFGAP3	Q9NP61	syn9736224
ARFGEF1	Q9Y6D6	syn9736225
ARFGEF2	Q9Y6D5	syn9736226
ARFIP2	P53365	syn9736227
ARG1	P05089	syn9736228
ARG2	P78540	syn9736229
ARHGAP1	Q07960	syn9736230
ARHGAP10	A1A4S6	syn9736231
ARHGAP11A	Q6P4F7	syn9736232
ARHGAP20	Q9P2F6	syn9736233
ARHGAP21	Q5T5U3	syn9736234
ARHGAP25	P42331	syn9736235
ARHGAP26	Q9UNA1	syn9736236
ARHGAP27	Q6ZUM4	syn9736237
ARHGAP32	A7KAX9	syn9736238
ARHGAP35	Q9NRY4	syn9736239
ARHGAP4	P98171	syn9736240
ARHGAP9	Q9BRR9	syn9736241
ARHGDIA	P52565	syn9736242
ARHGDIB	P52566	syn9736243
ARHGEF1	Q92888	syn9736244
ARHGEF11	O15085	syn9736245
ARHGEF12	Q9NZN5	syn9736246
ARHGEF2	Q92974	syn9736247
ARHGEF4	Q9NR80	syn9736248
ARHGEF6	Q15052	syn9736249
ARHGEF7	Q14155	syn9736250
ARHGEF9	O43307	syn9736251
ARID1A	O14497	syn9736252
ARID1B	Q8NFD5	syn9736253
ARID3A	Q99856	syn9736254
ARID4A	P29374	syn9736255
ARID5B	Q14865	syn9736256
ARIH1	Q9Y4X5	syn9736257
ARL1	P40616	syn9736258
ARL2	P36404	syn9736259
ARL2BP	Q9Y2Y0	syn9736260
ARL5A	Q9Y689	syn9736261
ARL5B	Q96KC2	syn9736262
ARL6	Q9H0F7	syn9736263
ARL8A	Q96BM9	syn9736264
ARL8B	Q9NVJ2	syn9736265
ARNT	P27540	syn9736266
ARNTL	O00327	syn9736267
ARNTL2	Q8WYA1	syn9736268
ARR3	P36575	syn9736269
ARRB1	P49407	syn9736270
ARRDC3	Q96B67	syn9736271
ARSA	P15289	syn9736272
ARSB	P15848	syn9736273
ARTN	Q5T4W7	syn9736274
ASAH2	Q9NR71	syn9736275
ASAP1	Q9ULH1	syn9736276
ASB11	Q8WXH4	syn9736277
ASB9	Q96DX5	syn9736278
ASCC2	Q9H1I8	syn9736279
ASF1A	Q9Y294	syn9736280
ASF1B	Q9NVP2	syn9736281
ASGR1	P07306	syn9736282
ASH1L	Q9NR48	syn9736283
ASH2L	Q9UBL3	syn9736284
ASIP	P42127	syn9736285
ASL	P04424	syn9736286
ASMT	P46597	syn9736287
ASMTL	O95671	syn9736288
ASPA	P45381	syn9736289
ASPH	Q12797	syn9736290
ASPSCR1	Q9BZE9	syn9736291
ASRGL1	Q7L266	syn9736292
ASS1	P00966	syn9736293
ASTN2	O75129	syn9736294
ATAD2	Q6PL18	syn9736295
ATAD2B	Q9ULI0	syn9736296
ATAT1	Q5SQI0	syn9736297
ATF2	P15336	syn9736298
ATF4	P18848	syn9736299
ATF7IP	Q6VMQ6	syn9736300
ATG101	Q9BSB4	syn9736301
ATG12	O94817	syn9736302
ATG13	O75143	syn9736303
ATG16L1	Q676U5	syn9736304
ATG3	Q9NT62	syn9736305
ATG4A	Q8WYN0	syn9736306
ATG4B	Q9Y4P1	syn9736307
ATG5	Q9H1Y0	syn9736308
ATIC	P31939	syn9736309
ATL1	Q8WXF7	syn9736310
ATOX1	O00244	syn9736311
ATP2B4	P23634	syn9736312
ATP7A	Q04656	syn9736313
ATP7B	P35670	syn9736314
ATRIP	Q8WXE1	syn9736315
ATRX	P46100	syn9736316
ATXN1	P54253	syn9736317
ATXN2	Q99700	syn9736318
ATXN3	P54252	syn9736319
ATXN3L	Q9H3M9	syn9736320
ATXN7	O15265	syn9736321
ATXN7L3	Q14CW9	syn9736322
AUH	Q13825	syn9736323
AUP1	Q9Y679	syn9736324
AURKA	O14965	syn9736325
AURKB	Q96GD4	syn9736326
AVIL	O75366	syn9736327
AVPR1A	P37288	syn9736328
AVPR2	P30518	syn9736329
AXIN1	O15169	syn9736330
AXL	P30530	syn9736331
AZGP1	P25311	syn9736332
AZI2	Q9H6S1	syn9736333
AZIN1	O14977	syn9736334
AZU1	P20160	syn9736335
B2M	P61769	syn9736336
B3GAT1	Q9P2W7	syn9736337
B3GAT2	Q9NPZ5	syn9736338
B3GAT3	O94766	syn9736339
B4GALT1	P15291	syn9736340
B4GALT7	Q9UBV7	syn9736341
BACE1	P56817	syn9736342
BACE2	Q9Y5Z0	syn9736343
BACH1	O14867	syn9736344
BACH2	Q9BYV9	syn9736345
BAD	Q92934	syn9736346
BAG1	Q99933	syn9736347
BAG4	O95429	syn9736348
BAG5	Q9UL15	syn9736349
BAG6	P46379	syn9736350
BAIAP2	Q9UQB8	syn9736352
BAIAP2L1	Q9UHR4	syn9736354
BAK1	Q16611	syn9736356
BANF1	O75531	syn9736362
BARD1	Q99728	syn9736364
BARX1	Q9HBU1	syn9736367
BAX	Q07812	syn9736369
BAZ1B	Q9UIG0	syn9736372
BAZ2A	Q9UIF9	syn9736376
BAZ2B	Q9UIF8	syn9736379
BBOX1	O75936	syn9736382
BBS9	Q3SYG4	syn9736386
BCAM	P50895	syn9736389
BCAP29	Q9UHQ4	syn9736390
BCAP31	P51572	syn9736393
BCAR1	P56945	syn9736396
